icd_code,icd_code_norm,icd_version,mimic_long_title,official_source,official_code_description,official_default_category,official_default_category_description,all_ccsr_categories,all_ccsr_descriptions,clinical_priority_category,mapping_status,mapping_reason,primary_psychiatric_comorbidity_flag,dementia_flag,substance_flag
T402X2D,T402X2D,10,"Poisoning by other opioids, intentional self-harm, subsequent encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by other opioids, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,INJ059; MBD027; MBD028,"Poisoning by drugs, subsequent encounter; Suicide attempt/intentional self-harm; subsequent encounter; Opioid-related disorders; subsequent encounter",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T402X4A,T402X4A,10,"Poisoning by other opioids, undetermined, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by other opioids, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT023; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, undetermined; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T402X5A,T402X5A,10,"Adverse effect of other opioids, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of other opioids, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD018,"Adverse effects of drugs and medicaments, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T402X5D,T402X5D,10,"Adverse effect of other opioids, subsequent encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of other opioids, subsequent encounter",XXX000,Unacceptable PDX,INJ065; MBD028,"Adverse effects of drugs and medicaments, subsequent encounter; Opioid-related disorders; subsequent encounter",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T403X1A,T403X1A,10,"Poisoning by methadone, accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by methadone, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T403X2A,T403X2A,10,"Poisoning by methadone, intentional self-harm, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by methadone, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014; EXT021; INJ022; MBD012; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, self-harm; Poisoning by drugs, initial encounter; Suicidal ideation/attempt/intentional self-harm; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T403X4A,T403X4A,10,"Poisoning by methadone, undetermined, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by methadone, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT023; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, undetermined; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T403X5A,T403X5A,10,"Adverse effect of methadone, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of methadone, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD018,"Adverse effects of drugs and medicaments, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T403X5D,T403X5D,10,"Adverse effect of methadone, subsequent encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of methadone, subsequent encounter",XXX000,Unacceptable PDX,INJ065; MBD028,"Adverse effects of drugs and medicaments, subsequent encounter; Opioid-related disorders; subsequent encounter",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40411A,T40411A,10,"Poisoning by fentanyl or fentanyl analogs, accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by fentanyl or fentanyl analogs, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
