result_family,outcome,model,group_or_metric,metric,v1_point_estimate,v1_ci_lower,v1_ci_upper,v1_ci_width,v1_1_point_estimate,v1_1_ci_lower,v1_1_ci_upper,v1_1_ci_width,v1_2_point_estimate,v1_2_ci_lower,v1_2_ci_upper,v1_2_ci_width,v1_2_minus_v1_1_point,v1_2_vs_v1_1_ci_width_change_percent
standardized_cif,readmission_90d,Model 1,1_no_primary_psych_no_delirium,standardized_cif,0.2474441146498047,0.246001392597963,0.2488118014171119,0.002810408819148902,0.2474441146498047,0.1967128578992041,0.2963124483563191,0.099599590457115,0.24722206227457366,0.23942497728173942,0.2550184469543112,0.015593469672571775,-0.00022205237523104104,-84.34384157504552
standardized_cif,readmission_90d,Model 1,1_no_primary_psych_no_delirium,risk_difference_vs_group1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
standardized_cif,readmission_90d,Model 1,1_no_primary_psych_no_delirium,risk_ratio_vs_group1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,
standardized_cif,readmission_90d,Model 1,2_primary_psych_no_delirium,standardized_cif,0.2599152864705493,0.2583660511601141,0.2613813583402059,0.003015307180091853,0.2599152864705493,0.202992457391573,0.3161208145323542,0.11312835714078118,0.26862916774369794,0.2569691187836363,0.27968499250226825,0.02271587371863193,0.00871388127314865,-79.92026553487077
standardized_cif,readmission_90d,Model 1,2_primary_psych_no_delirium,risk_difference_vs_group1,0.0124711718207445,0.0123585803148978,0.0125826387544773,0.00022405843957950047,0.0124711718207445,-0.0065944520170558,0.0301025413745469,0.0366969933916027,0.021407105469124277,0.00833213485590578,0.03401212639119047,0.02567999153528469,0.008935933648379777,-30.021538110092163
standardized_cif,readmission_90d,Model 1,2_primary_psych_no_delirium,risk_ratio_vs_group1,1.050399953292057,1.05007227713536,1.0507338186473898,0.0006615415120296841,1.0503999532920572,0.9735278340997704,1.125458027738422,0.15193019363865168,1.0865905949985515,1.032297549999809,1.140408395620045,0.10811084562023598,0.03619064170649433,-28.84176408188811
standardized_cif,readmission_90d,Model 1,3_no_primary_psych_delirium,standardized_cif,0.2265563793619504,0.2249782592071874,0.2280240069752515,0.0030457477680641,0.2265563793619504,0.1715088155784185,0.2824972459036943,0.1109884303252758,0.2805888227944892,0.26808850150943897,0.29312502904939136,0.02503652753995239,0.054032443432538824,-77.44221855685552
standardized_cif,readmission_90d,Model 1,3_no_primary_psych_delirium,risk_difference_vs_group1,-0.0208877352878542,-0.021340019141361,-0.0204184380525243,0.0009215810888366996,-0.0208877352878543,-0.0392668682024191,-0.0018831819533073,0.0373836862491118,0.03336676051991555,0.018342844552139668,0.04712272027768691,0.02877987572554724,0.05425449580776985,-23.014879983294794
standardized_cif,readmission_90d,Model 1,3_no_primary_psych_delirium,risk_ratio_vs_group1,0.9155860493290954,0.9136535610476688,0.917506780060728,0.003853219013059239,0.9155860493290952,0.832154507062917,0.9923604726283374,0.16020596556542033,1.1349667590866435,1.072460923824336,1.1928471635589732,0.12038623973463713,0.2193807097575483,-24.855332752588886
standardized_cif,readmission_90d,Model 1,4_primary_psych_delirium,standardized_cif,0.2271191860614378,0.2255260020981183,0.2286205102044072,0.003094508106288918,0.2271191860614378,0.1706625219958527,0.2891770670868374,0.11851454509098469,0.28534644716311147,0.2691008931233989,0.30225015039489306,0.03314925727149415,0.05822726110167367,-72.02937643979044
