model,metric,estimate,ci95_lower,ci95_upper,bootstrap_successful_iterations,source_file,term,HR,CI95_lower,CI95_upper,wald_p_value,interaction_lrt_chisq,interaction_lrt_df,interaction_lrt_p_value,analysis_n,event_n,penalizer,time_window,outcome,formal_interpretability,synergy_index_same_rr_direction,synergy_index_denom,synergy_index_bootstrap_denom_sign_flip_fraction
Model 1,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,psych_primary_documented_by_index:delirium_binary,0.885478041954092,0.788750115808615,0.994068142835116,0.0393251547438174,4.249041661081719,1.0,0.0392724862705921,29366.0,5105.0,0.0,,,,,,
Model 2,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,psych_primary_documented_by_index,1.1254209723487063,1.038399672460343,1.219734942713668,0.0040063615530171,,,,29366.0,5105.0,0.0,,,,,,
Model 2,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,delirium_binary,1.4659531050486836,1.3610435311026496,1.5789491350514329,5.730677015983982e-24,4.072030241208267,1.0,0.0435988423099642,29366.0,5105.0,0.0,,,,,,
Model 2,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,psych_primary_documented_by_index:delirium_binary,0.8877348289285779,0.7907491151633073,0.9966158815493544,0.0436546059360081,4.072030241208267,1.0,0.0435988423099642,29366.0,5105.0,0.0,,,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\time_specific_multiplicative_interaction.csv,psych_primary_documented_by_index:delirium_binary,0.8657864782085983,0.706941351019019,1.0603230731493614,0.1634467446457193,,,,29366.0,1639.0,0.0,0_30_days,,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\time_specific_multiplicative_interaction.csv,psych_primary_documented_by_index:delirium_binary,0.7574391125248336,0.5965162659767015,0.9617742916750832,0.0226190620701272,,,,27727.0,1213.0,0.0,30_90_days,,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\time_specific_multiplicative_interaction.csv,psych_primary_documented_by_index:delirium_binary,0.9667736241096409,0.8084084990216172,1.1561620658432683,0.7112278529414664,,,,26514.0,2253.0,0.0,90_365_days,,,,,
Model 1,R00,0.2472220622745736,0.2394249772817394,0.2550184469543112,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,R10,0.2686291677436979,0.2569691187836363,0.2796849925022682,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,R01,0.2805888227944892,0.2680885015094389,0.2931250290493913,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,R11,0.2853464471631114,0.2691008931233989,0.302250150394893,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,interaction_contrast,-0.016649481100502,-0.0397272221390508,0.0088832477127135,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,RR10,1.0865905949985517,1.032297549999809,1.140408395620045,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,RR01,1.1349667590866437,1.072460923824336,1.1928471635589732,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,RR11,1.1542110948261386,1.0811473759489865,1.2357158688005614,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,RERI,-0.0673462592590563,-0.1631055968574162,0.0355512751615213,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,AP,-0.0583483034957317,-0.1453201466013252,0.0300036083469018,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,synergy_index,0.696032390632541,0.3799942996318245,1.2272536504089444,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,interpretable,True,0.2215573540851949,0.0
Model 2,R00,0.2517341502309366,0.2438561691305211,0.2598822545133429,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,R10,0.2746859215743413,0.2629178589882624,0.2860296604831011,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,R01,0.2690072717932525,0.255729292390324,0.2814122339743344,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,R11,0.2748915571338806,0.2580781929407373,0.2919537264688718,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,interaction_contrast,-0.0170674860027767,-0.0403068907289085,0.006573534969883,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,RR10,1.0911746432589666,1.0376886304331685,1.1446878784712682,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,RR01,1.0686165208275076,1.0064980343257908,1.1280493477278075,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,RR11,1.0919915191550285,1.0191838689495414,1.1733921031186318,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,RERI,-0.0677996449314457,-0.1610452757805376,0.0263672635173365,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 2,AP,-0.0620880691307093,-0.1502180691818487,0.0237293322738998,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
