outcome,model,term,HR,CI95_lower,CI95_upper,wald_p_value,interaction_lrt_chisq,interaction_lrt_df,interaction_lrt_p_value,analysis_n,event_n,penalizer
readmission_90d,Model 1,psych_primary_documented_by_index:delirium_binary,0.9210399462728512,0.8264637196357686,1.0264389863406926,0.13677574393142214,2.2172457696287893,1,0.13647633651530158,24033,6321,0.0
readmission_90d,Model 2,psych_primary_documented_by_index:delirium_binary,0.9212892334962325,0.8266761729968249,1.0267307556224141,0.13812109396167466,2.2021155467664357,1,0.1378214755780309,24033,6321,0.0
