outcome,model,group,label,standardized_cif,ci95_lower,ci95_upper,risk_difference_vs_group1,risk_difference_ci95_lower,risk_difference_ci95_upper,risk_ratio_vs_group1,risk_ratio_ci95_lower,risk_ratio_ci95_upper,bootstrap_successful_iterations
readmission_90d,Model 1,1_no_primary_psych_no_delirium,No psychiatric comorbidity / no delirium,0.24722206227457366,0.23942497728173942,0.2550184469543112,0.0,0.0,0.0,1.0,1.0,1.0,1000
readmission_90d,Model 1,2_primary_psych_no_delirium,Psychiatric comorbidity / no delirium,0.26862916774369794,0.2569691187836363,0.27968499250226825,0.021407105469124277,0.00833213485590578,0.03401212639119047,1.0865905949985515,1.032297549999809,1.140408395620045,1000
readmission_90d,Model 1,3_no_primary_psych_delirium,No psychiatric comorbidity / delirium,0.2805888227944892,0.26808850150943897,0.29312502904939136,0.03336676051991555,0.018342844552139668,0.04712272027768691,1.1349667590866435,1.072460923824336,1.1928471635589732,1000
readmission_90d,Model 1,4_primary_psych_delirium,Psychiatric comorbidity / delirium,0.28534644716311147,0.2691008931233989,0.30225015039489306,0.03812438488853781,0.02021760648535643,0.05739862357434357,1.1542110948261386,1.0811473759489865,1.2357158688005614,1000
readmission_90d,Model 2,1_no_primary_psych_no_delirium,No psychiatric comorbidity / no delirium,0.2517341502309366,0.2438561691305211,0.25988225451334296,0.0,0.0,0.0,1.0,1.0,1.0,1000
readmission_90d,Model 2,2_primary_psych_no_delirium,Psychiatric comorbidity / no delirium,0.27468592157434135,0.2629178589882624,0.28602966048310113,0.02295177134340476,0.009599992393086468,0.035666388891246834,1.0911746432589666,1.0376886304331683,1.1446878784712682,1000
readmission_90d,Model 2,3_no_primary_psych_delirium,No psychiatric comorbidity / delirium,0.26900727179325257,0.25572929239032405,0.28141223397433446,0.017273121562315974,0.0016402589294353732,0.03189356807496334,1.0686165208275076,1.0064980343257908,1.1280493477278075,1000
readmission_90d,Model 2,4_primary_psych_delirium,Psychiatric comorbidity / delirium,0.2748915571338806,0.2580781929407373,0.2919537264688718,0.02315740690294399,0.004858588596778003,0.04271893669463058,1.0919915191550285,1.0191838689495414,1.1733921031186318,1000
