group,time_day,at_risk_n,figure,variable,strategy,abs_smd,outcome,analysis,population,exposure_definition,severity_adjustment,weight_strategy,contrast,estimate_type,estimate,CI_lower,CI_upper,interpretation_flag,label,metric,lower,upper
,,,S2,nonneurologic_sofa_observed_components_n,trim_1_99_weighted_classifiable,0.0041146250045872,,,,,,,,,,,,,,,,
,,,S2,nonneurologic_sofa_observed_components_n,trim_5_95_weighted_classifiable,0.0046393262512799,,,,,,,,,,,,,,,,
,,,S2,nonneurologic_sofa_observed_components_n,unweighted_classifiable,0.034940487843296,,,,,,,,,,,,,,,,
,,,S2,nonneurologic_sofa_zero_imputed,trim_1_99_weighted_classifiable,0.0092722681536524,,,,,,,,,,,,,,,,
,,,S2,nonneurologic_sofa_zero_imputed,trim_5_95_weighted_classifiable,0.0087189230516908,,,,,,,,,,,,,,,,
,,,S2,nonneurologic_sofa_zero_imputed,unweighted_classifiable,0.0042239049884818,,,,,,,,,,,,,,,,
,,,S2,psych_primary_strict_prior,trim_1_99_weighted_classifiable,0.0389831499279482,,,,,,,,,,,,,,,,
,,,S2,psych_primary_strict_prior,trim_5_95_weighted_classifiable,0.0348206604660302,,,,,,,,,,,,,,,,
,,,S2,psych_primary_strict_prior,unweighted_classifiable,0.026655471614662,,,,,,,,,,,,,,,,
,,,S2,race_group,trim_1_99_weighted_classifiable,0.022225795829859,,,,,,,,,,,,,,,,
,,,S2,race_group,trim_5_95_weighted_classifiable,0.0276785798206355,,,,,,,,,,,,,,,,
,,,S2,race_group,unweighted_classifiable,0.0447380984217469,,,,,,,,,,,,,,,,
,,,S2,rrt_any_0_24h,trim_1_99_weighted_classifiable,0.002486727425612,,,,,,,,,,,,,,,,
,,,S2,rrt_any_0_24h,trim_5_95_weighted_classifiable,0.0014214085348711,,,,,,,,,,,,,,,,
,,,S2,rrt_any_0_24h,unweighted_classifiable,0.0087128681466105,,,,,,,,,,,,,,,,
,,,S2,sepsis3_index,trim_1_99_weighted_classifiable,0.0238656069655237,,,,,,,,,,,,,,,,
,,,S2,sepsis3_index,trim_5_95_weighted_classifiable,0.025893871981429,,,,,,,,,,,,,,,,
,,,S2,sepsis3_index,unweighted_classifiable,0.0274362055153219,,,,,,,,,,,,,,,,
,,,S2,sex_recorded,trim_1_99_weighted_classifiable,0.0052721743317028,,,,,,,,,,,,,,,,
,,,S2,sex_recorded,trim_5_95_weighted_classifiable,0.0074799800555512,,,,,,,,,,,,,,,,
,,,S2,sex_recorded,unweighted_classifiable,0.0224835865940017,,,,,,,,,,,,,,,,
,,,S2,substance_use_strict_prior,trim_1_99_weighted_classifiable,0.0251490851232178,,,,,,,,,,,,,,,,
,,,S2,substance_use_strict_prior,trim_5_95_weighted_classifiable,0.0231325499714349,,,,,,,,,,,,,,,,
,,,S2,substance_use_strict_prior,unweighted_classifiable,0.0226727576570408,,,,,,,,,,,,,,,,
,,,S2,vasopressor_any_0_24h,trim_1_99_weighted_classifiable,0.0046911978739371,,,,,,,,,,,,,,,,
,,,S2,vasopressor_any_0_24h,trim_5_95_weighted_classifiable,0.0060299409372611,,,,,,,,,,,,,,,,
,,,S2,vasopressor_any_0_24h,unweighted_classifiable,0.0346818428510442,,,,,,,,,,,,,,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1307885137996874,1.0390575015652497,1.2306178060550854,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.440326381860811,1.331550753958669,1.557987992659458,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.428788270348771,1.2990566408485626,1.5714756826559444,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.121023181089354,1.0297106318284197,1.2204331330523712,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.432371861574888,1.3238450797645225,1.5497955019000051,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4199011678597195,1.2905356778313697,1.5622344745069772,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1111031334932646,1.018753306550126,1.2118244577180248,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4329149412937037,1.3224641276745854,1.55259049074787,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4199687814125517,1.2878412009449276,1.5656521461705202,prespecified sensitivity; not a replacement for primary result,IPSW Cox | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,strict-prior psychiatric exposure Model 2 Cox,primary 72h classifiable cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.063425582818144,0.94848744220724,1.1922919797023723,prespecified sensitivity; not a replacement for primary result,strict-prior psychiatric exposure Cox | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,strict-prior psychiatric exposure Model 2 Cox,primary 72h classifiable cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.410232927100907,1.319844609650016,1.5068114035082902,prespecified sensitivity; not a replacement for primary result,strict-prior psychiatric exposure Cox | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,strict-prior psychiatric exposure Model 2 Cox,primary 72h classifiable cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3888133960840772,1.219839186355536,1.5811942022498828,prespecified sensitivity; not a replacement for primary result,strict-prior psychiatric exposure Cox | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,48h delirium definition Model 2 Cox,48h delirium classifiable cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1364050717704663,1.0477011043252036,1.23261919054424,prespecified sensitivity; not a replacement for primary result,48h delirium definition Cox | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,48h delirium definition Model 2 Cox,48h delirium classifiable cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4445292307662263,1.3377381934127803,1.5598453485241806,prespecified sensitivity; not a replacement for primary result,48h delirium definition Cox | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,48h delirium definition Model 2 Cox,48h delirium classifiable cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4549459038548205,1.3258546449736666,1.5966060768192003,prespecified sensitivity; not a replacement for primary result,48h delirium definition Cox | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1177887744346853,1.0254502429021626,1.218442096923278,prespecified sensitivity; not a replacement for primary result,exclude hospice sensitivity Cox | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3723289123909752,1.2655031995648591,1.488172170905424,prespecified sensitivity; not a replacement for primary result,exclude hospice sensitivity Cox | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.365380035402121,1.2363052067501217,1.5079307527752706,prespecified sensitivity; not a replacement for primary result,exclude hospice sensitivity Cox | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1289810828240074,1.041691883911415,1.2235847327412404,converged,severity alternative model | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4554380971573988,1.3512398145408724,1.567671431719107,converged,severity alternative model | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.448958185165427,1.324287656764118,1.5853653937150958,converged,severity alternative model | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1294028119746022,1.0421078321359245,1.2240102917965263,converged,severity alternative model | 2_primary_psych_no_delirium,,,
