fold,AUC,Brier_score,calibration_intercept,calibration_slope,probability_min,probability_p1,probability_p5,probability_median,probability_p95,probability_p99,probability_max
1,0.8121696417282537,0.15863984787729477,-0.00796061022343079,1.017125452147213,0.04001333020527668,0.06757200487561071,0.11615842365684438,0.7194168286747843,0.9373673483104725,0.9738077484627394,0.9951666948696403
2,0.812927500263743,0.15885940867940665,0.0011483223871111819,0.9966867635471862,0.03782451882126022,0.06591753602242814,0.1138093825427418,0.7196479320914861,0.9374482845355107,0.972426718444616,0.9976562000783945
3,0.8106093299397056,0.1580137594009385,0.010170651552004832,0.9952302865251784,0.04247686432246258,0.06658682090839749,0.11348458057613235,0.7201681216884566,0.9386402704687029,0.9741556236457798,0.9968582436260777
4,0.81268927290351,0.15838115776280892,-0.005028472864613026,0.9946072996724071,0.03636441545970053,0.06343396700626777,0.10849067509110608,0.726551906079705,0.9370983851254525,0.9748804529904035,0.9960533356826317
5,0.8102270099026813,0.15946160123547345,0.01827535097717314,0.9687164136470677,0.04125483696153897,0.06641633555644302,0.11231064490845742,0.7241378664783872,0.9401074665575141,0.973119505922813,0.9962025648416759
overall_oof,0.8117053999299126,0.15867113338098426,0.003538126099492814,0.9941141828427575,0.03636441545970053,0.06610185361578834,0.11280260565249772,0.7223212500834205,0.9381277158338226,0.9737558314072645,0.9976562000783945
