outcome,analysis,population,weight_strategy,model,group,contrast,term,HR,CI95_lower,CI95_upper,p_value,n,events,converged,warning,error
365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,none,exclude hospice mortality Model 2,2_primary_psych_no_delirium,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.2_primary_psych_no_delirium]",1.1177887744346853,1.0254502429021626,1.2184420969232779,0.011365406935894079,28543,4313,True,,
365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,none,exclude hospice mortality Model 2,3_no_primary_psych_delirium,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.3_no_primary_psych_delirium]",1.3723289123909752,1.2655031995648593,1.488172170905424,1.934967583581012e-14,28543,4313,True,,
365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,none,exclude hospice mortality Model 2,4_primary_psych_delirium,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.4_primary_psych_delirium]",1.365380035402121,1.2363052067501215,1.5079307527752706,7.91331979137467e-10,28543,4313,True,,
